,WSPRU-WW-10-B,WSPRU-WW-10-A,WSPRU-WW-9-B,WSPRU-WW-9-A,WSPRU-WW-7-B,WSPRU-WW-7-A,WSPRU-WW-4-B,WSPRU-WW-4-A,WSPRU-WW-6-A,WSPRU-WW-6-B,WSPRU-WW-8-A,WSPRU-WW-8-B,WSPRU-WW-3-A,WSPRU-WW-3-B,WSPRU-WW-5-A,WSPRU-WW-5-B,WSPRU-TT-3-A,WSPRU-TT-3-B,WSPRU-TT-7-B,WSPRU-TT-7-A,WSPRU-TT-8-A,WSPRU-TT-8-B,WSPRU-WW-2-B,WSPRU-WW-2-A,WSPRU-TT-6-B,WSPRU-TT-6-A,WSPRU-TT-4-A,WSPRU-TT-4-B,WSPRU-TT-5-B,WSPRU-TT-5-A,WSPRU-VV-10-A,WSPRU-TT-1-A,WSPRU-TT-1-B,WSPRU-TT-9-A,WSPRU-TT-9-B,WSPRU-TT-10-A,WSPRU-TT-10-B,WSPRU-UU-9-B,WSPRU-UU-9-A,WSPRU-VV-4-B,WSPRU-VV-5-B,WSPRU-VV-5-A,WSPRU-WW-1-A,WSPRU-WW-1-B,WSPRU-UU-3-B,WSPRU-UU-3-A,WSPRU-VV-3-A,WSPRU-VV-3-B,WSPRU-UU-6-B,WSPRU-TT-2-B,WSPRU-TT-2-A,WSPRU-UU-2-A,WSPRU-UU-6-A,WSPRU-UU-7-A,WSPRU-UU-7-B,WSPRU-UU-10-A,WSPRU-UU-10-B,WSPRU-VV-4-A,WSPRU-UU-1-A,WSPRU-UU-1-B,WSPRU-UU-2-B,WSPRU-UU-4-B,WSPRU-UU-4-A,WSPRU-UU-5-B,WSPRU-UU-5-A,WSPRU-UU-8-B,WSPRU-UU-8-A,WSPRU-VV-1-B,WSPRU-VV-1-A,WSPRU-VV-6-B,WSPRU-VV-6-A,WSPRU-VV-7-B,WSPRU-VV-7-A,WSPRU-VV-9-A,WSPRU-VV-9-B,WSPRU-VV-8-A,WSPRU-VV-8-B,WSPRU-VV-10-B,WSPRU-VV-2-A,WSPRU-VV-2-B
1987,1.936,2.322,1.197,1.152,2.357,2.063,1.463,2.192,1.618,1.278,1.315,1.533,0.886,0.526,3.247,3.094,0.54,0.703,0.76,0.679,0.991,1.2,2.313,2.301,0.372,0.567,0.602,0.568,0.548,0.503,1.048,0.361,0.62,0.49,0.465,0.437,0.721,0.744,0.752,0.505,1.397,1.85,1.103,1.446,0.926,0.733,0.43,0.484,1.373,0.869,0.726,1.315,1.668,1.053,1.282,0.243,0.283,0.198,1.474,1.174,0.908,1.012,0.792,0.717,0.384,1.24,1.241,0.624,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1988,1.977,2.451,1.2,1.162,2.208,2.339,1.743,2.939,1.76,1.27,1.428,1.353,0.966,0.457,3.514,3.257,0.719,0.733,0.917,0.759,0.84,1.262,2.38,2.808,0.348,0.663,0.677,0.853,0.673,0.582,1.568,0.643,0.595,0.65,0.695,0.618,0.561,0.68,0.748,1.035,1.826,1.845,1.319,1.447,1.122,0.796,0.583,0.939,1.959,0.74,0.448,1.935,1.966,1.748,1.379,0.281,0.262,0.225,1.951,1.739,1.046,0.64,0.619,0.389,0.673,1.056,1.047,0.459,0.401,2.221,0.32,0.538,0.551,0.516,0.51,NA,NA,NA,NA,NA
1989,2.273,2.444,1.394,1.487,2.36,2.095,1.874,2.45,2.146,1.524,1.573,1.725,0.734,0.638,3.598,3.093,0.592,0.639,0.733,0.698,0.803,0.893,2.246,2.532,0.289,0.517,0.632,0.637,0.728,0.658,0.433,0.515,0.541,0.824,0.598,0.563,0.438,1.017,0.864,1.281,2.59,0.51,1.5,1.732,0.141,0.116,0.521,0.919,2.054,0.601,0.498,1.976,2.324,1.677,1.819,0.408,0.363,0.397,2.181,2.006,1.682,0.702,0.863,0.646,0.423,1.163,1.388,0.301,0.266,1.729,0.359,0.221,0.424,0.523,0.309,0.452,0.487,0.511,NA,NA
1990,1.96,1.713,1.383,1.298,2.16,1.83,1.537,1.917,2.039,1.536,1.192,0.832,0.861,0.651,3.243,3.121,0.917,0.997,1.392,1.341,1.402,1.975,2.371,2.453,0.575,0.635,0.657,0.833,0.92,1.033,1.127,0.696,0.82,1.136,1.179,0.431,0.564,1.031,1.308,1.234,2.547,0.66,1.599,1.337,0.1,0.1,0.572,1.231,2.484,0.739,0.52,1.766,2.486,1.94,2.35,0.381,0.32,1,3.154,2.718,1.668,0.586,0.952,0.746,0.745,1.131,1.24,0.618,0.558,1.61,1.919,0.254,0.378,0.73,0.329,0.503,0.487,0.837,0.444,NA
1991,2.139,2.323,1.155,1.209,2.037,2.259,1.58,2.052,2.242,0.977,1.24,1.186,0.796,0.651,3.804,3.809,0.776,1.128,0.527,0.668,0.651,0.777,2.381,3.226,0.638,0.528,0.464,0.371,0.563,0.559,2.237,0.644,0.892,0.644,0.675,0.395,0.446,1.038,0.914,1.008,0.9,2.92,1.794,1.586,0.812,0.873,0.538,0.684,3.115,0.678,0.62,2.339,3.02,4.024,3.451,0.402,0.495,1.426,2.672,2.178,1.751,1.14,1.627,0.866,0.614,1.259,1.263,0.725,0.386,2.019,0.498,0.676,0.427,0.885,0.343,0.633,0.366,1.227,0.3,0.396
1992,2.021,1.928,1.23,1.219,2.065,2.009,1.607,1.756,2.078,1.335,1.323,1.606,0.696,0.706,4.018,3.593,0.701,1.138,0.473,0.705,0.752,0.998,2.293,2.509,0.713,0.781,0.469,0.514,0.529,0.533,0.996,0.541,0.749,1.031,0.912,0.715,0.686,1.501,1.283,0.901,0.841,0.836,1.71,1.485,1.245,1.178,1.806,0.634,3.524,0.554,0.609,2.404,3.749,3.684,3.091,0.411,0.429,1.552,3.13,2.35,2.55,1.173,1.73,1.035,0.947,1.469,1.225,0.957,0.544,0.837,2.28,0.807,0.595,0.28,0.501,0.595,0.621,0.89,0.524,0.415
1993,2.157,1.945,1.194,0.895,2.426,2.26,1.654,1.938,1.952,1.024,0.94,1.069,0.686,0.825,4.006,3.409,0.729,0.921,0.839,1.299,1.065,1.077,2.484,3.164,0.726,0.695,0.78,0.652,0.813,0.734,3.152,0.838,0.944,1.216,0.885,0.931,0.702,2.039,1.631,0.71,3.702,3.531,1.914,1.64,1.412,1.329,2.246,2.103,4.516,0.606,0.816,3.103,5.02,3.88,4.158,0.581,0.889,0.709,3.688,2.745,2.261,1.248,1.123,0.695,0.793,1.824,1.742,1.138,0.502,0.462,0.33,0.324,0.883,0.725,0.499,0.561,0.448,0.987,0.309,0.471
1994,1.754,2.093,1.511,0.789,2.458,2.199,1.461,2.148,2.18,1.416,1.168,1.412,0.609,0.749,3.737,3.408,0.777,0.796,0.868,1.299,0.834,1.06,2.534,3.075,0.662,0.678,0.66,0.568,0.916,0.754,1.053,0.826,0.894,1.083,1.261,1.106,1.026,1.064,1.244,0.649,3.738,3.516,1.868,1.612,1.312,1.536,0.781,0.409,5.703,0.784,0.958,5.132,5.049,5.367,6.216,0.76,0.975,1.276,3.31,3.368,3.607,1.44,2.006,1.178,1.281,2.069,1.761,0.377,0.533,0.5,0.364,0.85,0.976,0.651,0.81,0.667,0.559,1.006,1.05,0.456
1995,1.795,1.998,1.751,0.721,2.132,1.534,1.398,2.229,2.13,1.172,1.061,1.248,0.735,0.777,3.357,3.103,1.016,1.115,0.831,1.205,1.12,1.31,2.443,3.092,0.702,0.788,0.719,0.737,0.822,1.041,1.023,0.864,0.891,1.165,1.011,0.795,1.009,2.343,2.191,0.974,3.665,3.589,1.792,1.877,1.299,1.598,2.375,1.964,5.192,0.796,0.928,4.978,4.727,4.268,5.378,0.522,0.813,0.972,4.049,3.729,4.487,1.728,1.973,0.907,1.425,2.082,2.103,0.433,1.151,0.665,0.615,1.105,1.061,0.745,0.785,0.878,0.552,1,0.297,0.481
1996,1.72,1.943,1.612,0.634,2.231,2.059,1.37,1.986,2.097,0.983,1.227,1.259,0.72,0.91,3.572,3.107,0.758,0.893,0.96,1.2,1.145,1.277,2.591,3.06,0.751,0.873,0.769,0.695,0.896,0.882,3.494,0.817,1.12,1.126,0.808,0.527,0.756,1.338,1.351,0.685,0.889,0.666,1.848,1.822,1.385,1.639,2.568,0.445,4.233,0.863,1.146,4.355,4.651,4.362,4.512,0.796,1.083,1.899,3.974,3.399,4.369,1.464,1.864,0.775,1.25,1.541,1.871,0.483,0.736,2.854,0.896,1.344,1.238,0.977,0.79,0.508,0.343,1.04,0.481,0.689
