"","WSPRU-Q-16-A","WSPRU-X-2-B","WSPRU-X-2-A","WSPRU-X-4-A","WSPRU-X-4-B","WSPRU-X-10-B","WSPRU-Q-9-A","WSPRU-X-11-A","WSPRU-X-6-B","WSPRU-X-6-A","WSPRU-X-10-A","WSPRU-X-3-A","WSPRU-X-3-B","WSPRU-X-1-A","WSPRU-X-1-B","WSPRU-X-5-A","WSPRU-X-5-B","WSPRU-X-9-A","WSPRU-X-12-A","WSPRU-Q-11-A","WSPRU-Q-11-B","WSPRU-X-9-B","WSPRU-X-11-B","WSPRU-X-12-B","WSPRU-X-8-B","WSPRU-X-8-A","WSPRU-X-7-A","WSPRU-Q-13-B","WSPRU-Q-13-A","WSPRU-X-7-B","WSPRU-Q-15-B","WSPRU-Q-15-A","WSPRU-X-14-A","WSPRU-X-5-C","WSPRU-Q-10-B","WSPRU-Q-10-A","WSPRU-X-13-B","WSPRU-X-13-A","WSPRU-W-10-A","WSPRU-W-10-B","WSPRU-W-3-A","WSPRU-W-11-B","WSPRU-W-11-A","WSPRU-W-13-A","WSPRU-W-13-B","WSPRU-W-1-A","WSPRU-W-1-B","WSPRU-W-2-A","WSPRU-W-3-B","WSPRU-W-14-A","WSPRU-W-14-B","WSPRU-W-15-B","WSPRU-W-15-A","WSPRU-W-16-A","WSPRU-W-16-B","WSPRU-W-9-A","WSPRU-W-4-B","WSPRU-W-9-B","WSPRU-Q-12-A","WSPRU-Q-12-B","WSPRU-W-4-A","WSPRU-W-5-A","WSPRU-W-5-B","WSPRU-W-2-B"
"1973",0.519,0.47,1.036,0.417,0.457,0.245,1.567,1.04,0.164,0.275,0.252,1.467,2.205,0.681,0.417,0.323,0.394,1.72,3.672,0.324,0.191,1.589,1.317,2.389,0.378,1.364,1.392,0.605,0.543,1.335,0.59,0.883,1.346,0.964,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1974",0.683,0.905,1.046,0.715,0.578,0.97,1.517,0.295,0.202,0.32,0.958,1.873,3.124,1.172,0.765,1.347,0.498,1.94,3.025,0.324,0.264,2.043,1.617,2.108,0.536,1.334,1.662,0.358,0.489,1.565,0.433,0.404,1.706,1.382,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1975",0.547,0.928,0.976,0.721,0.762,0.337,1.328,0.375,0.401,0.461,1.269,1.389,2.372,1.031,0.885,0.743,0.693,1.882,1.834,0.388,0.372,2.04,0.4,1.809,0.538,1.539,1.631,0.255,0.409,1.657,0.396,0.175,1.325,1.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1976",1.164,0.745,0.537,0.798,0.886,0.273,1.749,1.422,0.724,0.533,1.36,1.343,2.99,0.952,0.848,0.758,0.521,2.15,2.197,0.586,0.248,2.251,0.317,1.915,2.492,2.663,1.586,0.291,0.233,1.777,0.307,0.342,2.477,1.463,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1977",0.701,0.427,0.279,0.633,0.958,0.223,1.452,1.275,0.267,0.521,0.167,1.342,3.073,1.032,0.778,0.784,0.552,1.664,1.551,0.934,0.934,1.279,0.214,3.072,1.807,0.629,1.528,0.468,0.323,1.625,0.435,0.67,3.268,1.162,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1978",0.606,0.456,0.858,0.329,0.681,0.274,1.569,0.263,0.251,0.546,0.162,1.671,2.468,1.114,0.639,1.66,0.485,1.347,2.368,0.171,0.095,1.156,0.161,2.147,1.649,0.564,1.347,0.741,0.471,1.487,0.664,0.685,2.797,1.304,0.213,0.172,1.213,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1979",0.549,0.62,0.399,0.46,0.721,0.264,1.607,0.3,0.636,0.832,1.644,1.611,2.708,1.003,0.467,1.766,1.849,1.175,2.736,1.225,0.055,1.253,0.198,2.646,0.749,0.699,0.332,0.909,0.847,2.012,0.659,0.548,2.581,1.708,0.404,0.38,1.219,1.489,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1980",0.308,0.239,0.185,0.358,0.315,0.973,1.65,1.197,0.257,0.454,1.096,1.338,2.279,0.504,0.271,1.351,1.966,0.765,0.933,0.37,0.767,0.753,0.251,1.69,1.059,0.659,1.049,0.804,1.504,1.166,1.074,0.916,2.663,1.574,0.694,0.734,1.261,1.662,0.226,0.186,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1981",0.362,0.797,0.209,0.11,0.083,0.19,1.177,1.547,0.525,0.531,1.175,1.67,2.023,0.11,0.395,0.295,2.101,1.052,1.989,0.103,0.487,1.174,0.111,1.197,0.69,0.751,1.267,0.517,1.248,0.986,0.943,0.995,4.222,2.094,0.449,0.394,1.598,1.621,0.622,0.507,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1982",0.658,0.545,0.167,0.384,0.091,1.14,1.788,1.149,0.363,0.588,0.103,1.316,1.452,0.045,0.315,1.685,0.198,0.754,0.83,0.17,0.922,0.493,0.052,0.993,0.642,0.558,0.899,0.649,0.716,0.761,0.927,1.109,2.343,1.722,0.555,0.456,1.248,1.168,0.457,0.553,0.478,0.418,0.325,0.494,0.507,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1983",0.624,0.284,1.029,0.506,0.376,1.539,2.337,1.728,0.345,0.651,1.42,1.545,2.065,0.946,0.497,0.206,0.247,1.274,1.532,1.971,0.108,0.774,0.143,1.494,0.503,0.49,0.316,0.427,0.552,1.292,0.942,0.889,2.606,2.876,1.071,0.674,1.744,1.928,0.473,0.5,0.43,0.304,0.434,0.639,0.383,0.266,0.3,0.204,0.275,0.27,0.341,0.366,0.318,0.542,0.352,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1984",0.624,0.653,0.889,0.584,0.459,1.388,1.382,0.19,0.407,0.713,1.206,2.127,2.522,0.752,0.327,2.979,2.56,0.663,1.227,0.379,0.064,1.436,0.223,1.421,0.403,0.402,0.393,0.83,0.796,1.356,1.685,1.366,2.894,2.999,0.721,0.649,1.619,1.79,0.362,0.472,0.679,0.564,0.446,0.226,0.353,0.471,0.58,0.408,0.333,0.548,0.509,0.613,0.576,0.589,0.731,0.657,NA,NA,NA,NA,NA,NA,NA,NA
"1985",0.642,0.588,0.651,0.632,0.176,1.412,1.134,1.406,0.649,0.628,0.146,2.542,2.311,1.248,0.801,0.187,3.722,0.61,1.606,0.231,1.557,0.772,1.598,1.757,0.526,1.674,0.506,1.069,0.896,1.317,1.731,1.73,3.378,3.478,0.874,0.946,1.423,1.887,0.318,0.273,0.578,0.848,0.406,0.183,0.301,0.455,0.476,0.511,0.547,0.363,0.326,0.505,0.512,0.419,0.576,0.574,0.179,0.401,NA,NA,NA,NA,NA,NA
"1986",0.829,1.033,0.187,0.924,0.228,1.615,1.651,1.495,1.015,0.788,0.242,3.091,3.11,0.023,0.869,0.258,4.434,1.79,1.665,2.594,1.339,0.769,1.713,1.205,2.075,1.996,0.484,1.105,1.086,1.526,1.651,1.829,3.458,4.687,1.218,0.868,1.517,1.799,0.207,0.372,0.525,1.074,0.603,0.255,0.289,0.534,0.604,0.601,0.495,0.378,0.422,0.574,0.135,0.428,0.537,0.541,0.168,0.596,NA,NA,NA,NA,NA,NA
"1987",0.589,0.51,0.905,0.289,0.124,0.276,1.39,1.458,0.839,0.625,0.275,2.085,2.306,0.021,1.286,3.162,3.881,1.214,1.442,2.354,0.052,1.556,1.371,1.181,1.983,1.605,0.581,1.625,1.466,1.142,1.618,2.272,3.937,4.197,1.115,0.93,1.665,1.832,0.313,0.314,0.72,0.413,0.739,0.435,0.376,0.438,0.497,0.912,0.469,0.317,0.367,0.625,0.537,0.193,0.286,0.467,0.249,0.466,1.116,0.343,0.227,0.7,NA,NA
"1988",1.007,0.589,1.266,0.42,0.792,1.966,1.454,0.17,0.912,0.791,1.369,2.163,2.409,0.026,1.655,3.218,0.282,1.316,0.274,0.166,2.192,2.113,0.219,1.987,0.606,2.047,0.67,1.678,1.597,1.564,1.71,2.665,3.572,3.185,1.214,0.965,1.682,2.314,0.475,0.299,0.636,1.273,0.606,0.519,0.329,0.452,0.383,0.947,0.478,0.261,0.51,0.29,0.247,0.639,0.213,0.582,0.494,0.681,0.675,0.854,0.458,0.497,0.402,NA
"1989",1.133,0.922,1.495,0.906,0.935,1.973,1.658,2.121,1.239,1.606,1.673,1.919,2.407,0.063,1.628,0.461,3.24,1.409,2.025,1.032,0.252,0.725,0.31,1.121,0.67,0.653,0.478,1.79,1.889,1.965,1.61,2.251,3.272,3.086,1.265,1.174,1.741,2.024,0.198,0.284,0.532,1.552,0.451,1.062,0.27,1.901,0.286,0.912,0.718,0.765,0.507,0.383,0.861,0.869,0.225,1.109,0.503,0.532,0.834,0.875,0.257,1.195,2.116,NA
