"","ASPEN-II-18-B","ASPEN-II-4-B","ASPEN-II-4-A","ASPEN-II-7-B","ASPEN-II-12-A","ASPEN-II-6-A","ASPEN-II-6-B","ASPEN-II-7-A","ASPEN-II-10-B","ASPEN-II-3-B","ASPEN-II-5-A","ASPEN-II-10-A","ASPEN-II-5-B","ASPEN-II-17-A","ASPEN-II-20-B","ASPEN-II-20-A","ASPEN-II-3-A","ASPEN-II-18-A","ASPEN-QQ-6-A","ASPEN-QQ-6-B","ASPEN-QQ-7-A","ASPEN-QQ-7-B","ASPEN-QQ-10-A","ASPEN-QQ-10-B","ASPEN-QQ-4-A","ASPEN-QQ-5-A","ASPEN-QQ-8-A","ASPEN-QQ-8-B","ASPEN-QQ-11-A","ASPEN-QQ-19-B","ASPEN-QQ-1-A","ASPEN-QQ-1-B","ASPEN-QQ-3-A","ASPEN-QQ-3-B","ASPEN-QQ-9-A","ASPEN-QQ-9-B","ASPEN-QQ-14-A","ASPEN-QQ-19-A","ASPEN-QQ-2-A","ASPEN-QQ-2-B","ASPEN-QQ-11-B","ASPEN-QQ-14-B","ASPEN-QQ-15-B","ASPEN-QQ-16-A","ASPEN-QQ-16-B","ASPEN-QQ-20-B","ASPEN-II-13-A","ASPEN-II-13-B","ASPEN-II-11-B","ASPEN-QQ-20-A","ASPEN-QQ-12-A","ASPEN-QQ-12-B","ASPEN-QQ-15-A","ASPEN-QQ-18-A","ASPEN-QQ-18-B","ASPEN-II-14-A","ASPEN-II-15-B","ASPEN-QQ-13-A","ASPEN-QQ-13-B","ASPEN-II-19-A","ASPEN-II-11-A","ASPEN-II-19-B","ASPEN-II-14-B"
"1947",1.332,1.484,0.975,1.165,1.826,1.095,1.471,1.111,1.196,0.875,1.26,1.464,1.94,0.264,0.444,1.138,0.644,1.101,1.154,1.194,0.904,1.023,1.136,1.215,1.3,1.446,1.08,1.177,1.769,1.613,1.655,1.976,1.259,1.13,1.289,0.951,3.116,2.501,3.153,3.131,1.64,2.578,2.151,2.702,1.786,1.031,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1948",1.173,1.092,1.658,0.677,1.338,1.049,1.144,0.666,1.493,1.138,0.78,1.844,1.248,0.292,0.394,0.367,0.908,0.925,0.939,1.028,0.988,1.232,1.112,1.055,1.098,1.391,1.497,1.338,1.922,1.948,1.574,1.428,1.232,0.882,1.2,1.116,2.16,1.717,1.651,1.67,2.402,2.457,2.159,1.962,3.033,1.355,1.335,2.139,1.313,1.346,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1949",1.559,0.329,0.812,0.755,1.739,0.838,0.857,0.289,0.91,0.959,0.249,1.483,0.977,0.46,0.347,0.41,1.588,1.124,0.991,1.093,0.896,1.074,0.932,1.076,1.347,1.661,1.599,1.72,1.391,1.497,1.8,1.292,1.217,1.102,1.271,1.001,1.968,2.193,1.241,1.438,1.555,1.609,2.491,1.415,1.693,1.129,1.449,1.679,1.097,1.622,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1950",0.487,0.137,0.358,0.78,1.21,0.937,1.203,0.504,0.841,0.764,0.134,0.735,0.59,0.327,0.623,0.397,1.005,1.128,0.652,0.842,0.621,0.929,1.049,1.144,0.641,0.895,1.096,1.105,1.417,1.635,1.932,1.569,1.013,0.948,1.106,1.902,1.715,1.511,1.238,1.216,1.674,1.63,1.569,1.785,1.506,0.918,1.394,1.538,1.393,1.089,2.382,2.351,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1951",1.313,0.528,0.086,0.317,1.287,0.909,0.734,0.157,1.182,0.219,0.28,1.282,0.589,0.328,0.954,0.594,1.184,0.694,0.901,0.866,0.623,0.818,1.103,1.248,1.433,1.979,0.983,1.203,1.455,1.848,1.624,1.44,0.609,0.692,0.925,0.863,1.557,1.716,1.344,1.234,0.922,1.696,1.639,2.04,1.998,0.857,1.917,1.618,1.672,0.95,2.689,2.526,2.057,1.92,4.096,NA,NA,NA,NA,NA,NA,NA,NA
"1952",2.135,1.367,0.288,1.565,0.986,1.482,1.512,0.926,1.116,0.371,1.109,1.178,1.255,0.396,0.292,0.936,0.957,0.597,1.129,1.41,0.993,1.02,1.031,1.318,1.522,0.732,1.048,1.068,1.162,1.539,1.504,1.499,0.39,0.648,0.967,0.878,1.643,1.633,0.9,0.965,1.608,1.628,1.656,0.407,1.278,1.013,1.47,1.46,0.757,1.078,2.171,1.845,2.055,1.684,2.724,1.981,NA,NA,NA,NA,NA,NA,NA
"1953",1.113,0.794,1.45,0.3,0.907,0.584,0.331,0.217,1.352,1.092,0.436,1.75,0.934,0.453,0.125,0.274,0.406,0.552,1.274,1.246,1.135,0.736,1.064,1.335,1.537,0.507,1.035,0.938,3.049,2.826,1.133,1.188,0.64,0.654,0.914,1.052,1.437,1.601,0.803,0.909,2.438,0.396,1.216,0.49,1.383,0.996,1.274,1.676,1.825,1.043,1.677,1.894,1.41,1.899,2.326,0.923,NA,NA,NA,NA,NA,NA,NA
"1954",0.27,0.18,0.751,0.121,1.439,0.108,0.189,0.114,0.792,0.245,0.076,1.111,0.077,0.421,0.674,0.198,0.154,1.009,1.262,1.111,1.08,0.599,1.267,1.107,1.522,0.598,1.266,1.05,0.516,0.301,0.693,1.078,0.686,0.83,1.029,1.138,0.475,1.296,1.109,1.049,0.466,0.282,0.566,0.514,0.927,1.042,1.097,1.695,0.17,1.211,1.769,2.119,0.592,2.056,3.594,0.705,NA,NA,NA,NA,NA,NA,NA
"1955",1.65,0.787,0.176,0.288,0.746,0.54,0.933,0.345,0.24,0.481,0.075,0.114,0.379,0.735,0.997,0.649,0.563,0.396,1.263,1.44,0.991,0.719,0.555,0.537,1.597,0.786,1.018,0.949,0.363,0.329,0.39,0.414,0.486,0.528,1.043,0.974,0.351,0.632,0.89,0.928,0.414,0.265,0.311,0.381,0.37,1.051,0.915,0.301,0.147,0.839,0.604,0.678,0.436,0.985,1.526,1.004,NA,NA,NA,NA,NA,NA,NA
"1956",1.3,2.077,1.855,0.886,0.793,1.045,0.874,0.598,1.983,0.891,0.691,1.929,1.027,0.485,0.89,0.982,1.33,0.183,1.297,1.167,0.612,0.439,0.322,0.325,1.271,0.963,0.5,0.532,0.255,0.239,0.092,0.092,0.158,0.205,1.074,0.861,0.244,0.253,0.392,0.405,0.325,1.149,0.353,1.119,1.235,0.839,0.652,2.243,0.749,0.735,0.509,0.659,0.304,0.689,2.912,2.341,NA,NA,NA,NA,NA,NA,NA
