"","WSPRU-C-17-B","WSPRU-C-19-A","WSPRU-C-16-A","WSPRU-C-16-B","WSPRU-C-18-A","WSPRU-C-18-B","WSPRU-C-19-B","WSPRU-C-17-A","WSPRU-C-15-B","WSPRU-C-15-A","WSPRU-C-13-A","WSPRU-C-13-B","WSPRU-C-12-B","WSPRU-C-12-A","WSPRU-C-14-B","WSPRU-C-14-A","WSPRU-E-15-A","WSPRU-E-15-B","WSPRU-E-14-B","WSPRU-E-8-B","WSPRU-E-8-A","WSPRU-E-11-A","WSPRU-E-14-A","WSPRU-E-13-B","WSPRU-E-9-B","WSPRU-E-10-A","WSPRU-E-11-B","WSPRU-E-12-B","WSPRU-E-13-A","WSPRU-E-10-B","WSPRU-E-12-A","WSPRU-E-7-A","WSPRU-E-9-A","WSPRU-E-7-B"
"1977",1.51,1.011,1.927,2.506,2.751,3.843,0.75,1.011,1.818,1.664,2.134,2.702,2.913,3.276,5.298,4.397,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1978",1.49,1.09,1.742,2.481,3.425,3.769,0.831,1.492,1.838,1.592,2.034,2.933,3.373,3.538,5.157,3.807,2.298,0.757,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1979",1.653,1.111,1.965,2.464,3.204,3.885,0.885,1.256,2.287,1.804,2.175,2.953,3.52,3.789,5.272,4.255,3.343,2.498,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1980",1.324,0.663,0.918,1.249,1.971,2.437,0.471,0.809,1.262,1.453,1.956,1.868,3.214,4.287,4.135,4.585,3.871,3.586,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1981",1.583,0.829,1.334,1.993,2.769,3.39,0.655,0.86,2.302,1.733,2.646,2.71,3.295,4.4,4.704,4.671,4.031,3.872,2.274,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1982",1.4,0.808,0.871,1.67,1.857,2.525,0.458,0.791,1.06,1.214,1.663,2.042,3.045,3.582,4.284,3.417,3.461,3.23,1.401,2.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1983",1.804,0.994,1.158,2.174,2.896,3.777,0.721,1.156,1.983,2.278,2.606,3.187,3.6,4.79,4.815,5.25,4.125,3.782,2.118,2.852,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1984",1.894,1.202,1.764,2.464,2.794,3.825,0.861,1.649,2.126,2.123,2.853,3.328,3.712,4.582,4.435,4.569,3.952,3.557,2.356,2.853,2.799,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1985",1.989,1.138,1.535,2.062,2.51,3.105,1.155,1.556,1.881,1.678,2.476,2.976,3.882,4.035,3.81,4.617,2.907,2.744,2.602,1.905,2.486,1.558,2.861,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1986",2.124,1.446,1.651,1.556,3.067,3.389,1.308,1.765,2.097,1.666,2.691,3.098,4.383,4.537,3.821,4.308,1.51,2.842,4.624,2.825,3.444,2.905,3.727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1987",2.097,1.055,1.676,1.663,2.783,3.123,1.232,1.792,2.094,1.923,2.758,2.804,3.98,4.533,4.008,5.01,3.259,2.874,3.825,3.465,4.107,2.706,3.032,2.438,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1988",2.039,1.02,1.608,2.015,3.293,3.895,1.07,1.879,2.359,2.432,3.016,3.209,3.401,5.245,5.005,5.985,3.148,3.294,4.865,2.538,2.228,4.304,4.434,2.647,1.562,1.911,4.04,NA,NA,NA,NA,NA,NA,NA
"1989",1.658,1.173,1.608,1.301,2.403,3.684,0.897,1.947,1.851,1.889,3.082,3.267,3.23,4.314,3.095,4.506,2.81,3.49,4.289,3.685,3.054,4.43,4.616,4.487,2.881,2.444,4.503,1.817,4.198,NA,NA,NA,NA,NA
"1990",1.717,0.787,1.38,1.297,2.523,3.341,0.753,1.645,1.717,1.975,3.081,3.347,4.014,4.03,3.854,4.293,3.179,2.946,3.478,4.68,4.24,3.805,3.676,4.698,2.565,2.996,3.5,2.763,4.597,3.436,2.593,NA,NA,NA
"1991",2.223,0.963,1.049,1.043,2.956,3.03,0.715,1.604,2.226,1.766,2.747,3.306,3.257,3.992,3.567,3.729,4.191,3.423,4.452,3.874,3.716,4.71,3.622,2.653,2.05,2.262,4.03,2.557,2.818,2.393,3.066,0.15,3.633,NA
