"","ASPEN-SS-20-A","ASPEN-SS-20-B","ASPEN-SS-3-B","ASPEN-SS-2-A","ASPEN-SS-2-B","ASPEN-SS-3-A","ASPEN-SS-4-A","ASPEN-SS-4-B","ASPEN-SS-5-A","ASPEN-SS-5-B","ASPEN-SS-1-A","ASPEN-SS-1-B","ASPEN-SS-6-A","ASPEN-SS-6-B","ASPEN-SS-7-A","ASPEN-SS-7-B","ASPEN-SS-8-A","ASPEN-SS-8-B","ASPEN-SS-9-A","ASPEN-SS-9-B","ASPEN-SS-14-A","ASPEN-SS-16-B","ASPEN-SS-17-A","ASPEN-SS-17-B","ASPEN-SS-13-A","ASPEN-SS-15-A","ASPEN-SS-15-B","ASPEN-SS-19-A","ASPEN-SS-10-A","ASPEN-SS-10-B","ASPEN-SS-12-A","ASPEN-SS-12-B","ASPEN-SS-13-B","ASPEN-SS-16-A","ASPEN-SS-18-B","ASPEN-RR-12-A","ASPEN-RR-12-B","ASPEN-RR-18-A","ASPEN-RR-1-A","ASPEN-RR-1-B","ASPEN-RR-2-A","ASPEN-RR-2-B","ASPEN-RR-3-A","ASPEN-RR-3-B","ASPEN-RR-8-A","ASPEN-RR-8-B","ASPEN-RR-10-A","ASPEN-RR-10-B","ASPEN-SS-14-B","ASPEN-SS-19-B","ASPEN-RR-9-A","ASPEN-RR-9-B","ASPEN-RR-5-A","ASPEN-RR-5-B","ASPEN-RR-7-A","ASPEN-RR-7-B","ASPEN-RR-6-A","ASPEN-RR-6-B","ASPEN-RR-13-A","ASPEN-SS-18-A","ASPEN-RR-14-B","ASPEN-RR-16-A","ASPEN-SS-11-A","ASPEN-RR-11-A","ASPEN-RR-15-B","ASPEN-RR-17-B","ASPEN-RR-19-B","ASPEN-SS-11-B","ASPEN-RR-13-B","ASPEN-RR-11-B","ASPEN-RR-14-A","ASPEN-RR-16-B","ASPEN-RR-20-A","ASPEN-RR-17-A","ASPEN-RR-19-A","ASPEN-RR-15-A","ASPEN-RR-20-B"
"1988",1.309,1.987,1.713,2.359,1.919,1.4,2.12,2.494,2.695,3.337,1.524,2.011,1.391,1.341,2.31,1.239,3.003,2.522,1.661,2.74,3.947,2.499,2.412,2.428,2.773,3.324,3.563,2.329,1.481,1.734,2.935,3.413,3.081,2.905,3.425,4.636,5.409,3.511,2.45,2.668,2.312,2.066,1.138,1.409,4.075,2.49,0.615,0.505,3.202,3.933,1.766,1.84,2.812,3.542,1.953,2.491,1.345,1.445,3.697,4.145,2.163,2.568,1.813,3.602,3.566,4.328,3.351,1.96,3.68,NA,NA,NA,NA,NA,NA,NA,NA
"1989",1.562,1.86,0.906,2.232,1.255,1.036,1.437,1.546,1.388,2.013,1.754,2.419,1.274,0.902,1.58,1.246,2.678,2.267,1.759,2.619,2.236,1.587,2.417,1.989,1.765,2.027,2.026,1.851,0.578,0.604,1.64,2.802,1.397,1.595,3.035,2.657,2.585,4.225,3.204,3.166,2.458,2.167,1.739,1.759,2.953,2.544,1.103,0.975,1.773,2.346,2.386,2.406,2.107,2.708,2.579,2.461,2.322,1.986,3.04,3.618,1.288,4.182,1.65,2.987,3.023,4.891,4.819,1.555,3.111,3.064,2.356,4.842,3.954,NA,NA,NA,NA
"1990",1.993,1.464,0.827,1.962,1.697,0.942,0.708,1.65,1.03,1.244,1.41,1.362,1.099,0.93,1.299,0.861,1.794,1.654,1.366,1.914,3.214,1.487,2.23,2.029,2.691,2.282,2.93,1.116,0.797,0.394,2.351,3.002,1.929,1.99,2.06,3.9,3.568,3.84,2.687,2.92,2.586,2.317,1.802,2.004,4.07,2.709,0.917,0.453,3.09,2.18,3.032,2.605,1.805,2.649,2.136,2.43,1.242,1.242,3.388,3.165,1.378,3.352,1.143,2.203,2.466,6.296,5.038,1.329,3.583,2.313,1.341,3.506,4.602,7.272,3.308,NA,NA
"1991",3.571,0.773,1.187,2.125,2.15,1.436,1.818,2.428,2.658,1.78,1.379,1.918,2.257,2.404,1.996,1.105,2.205,2.324,1.084,0.93,4.364,2.051,3.171,2.751,3.291,3.309,4.293,4.745,1.28,1.878,2.974,3.66,3.042,2.229,2.099,4.256,4.492,3.426,2.552,2.036,2.186,2.374,1.199,1.274,3.22,2.389,1.05,0.724,4.277,5.11,1.423,1.613,1.828,1.346,1.764,1.512,1.225,1.075,2.619,4.092,2.564,2.577,3.388,2.029,2.369,4.485,4.194,4.825,2.254,1.967,2.771,2.812,4.803,4.934,3.373,3.423,2.982
"1992",4.335,2.226,1.921,2.388,3.179,2.084,1.769,2.719,2.935,2.305,1.748,2.534,3.924,2.725,2.66,2.084,1.821,2.428,1.456,2.074,4.362,1.34,3.249,2.653,2.689,3.64,3.918,5.18,1.623,1.848,3.058,3.372,2.718,3.392,4.022,2.418,1.613,3.112,1.657,1.033,1.227,1.126,0.774,1.282,1.576,1.432,0.872,1.108,3.089,6.992,0.921,0.964,0.852,1.288,1.569,1.334,0.665,0.919,1.437,5.117,1.28,1.971,7.895,2.521,2.32,4.059,3.202,5.441,1.4,2.112,1.914,1.459,3.248,4.001,4.799,3.475,1.97
"1993",3.65,2.789,2.431,3.696,3.294,2.214,2.121,3.62,2.912,3.329,3.409,4.268,5.71,4.046,4.86,4.168,2.649,2.81,2.418,3.004,4.523,2.009,3.353,2.879,2.918,3.474,4.711,4.678,2.091,2.186,3.385,4.439,3.382,2.902,4.696,5.166,4.78,3.454,2.459,2.681,2.202,2.304,1.611,2.062,3.959,3.031,1.572,1.387,3.623,5.518,2.557,1.865,2.584,3.668,3.164,2.969,1.723,2.129,2.955,6.461,3.083,4.051,4.225,2.616,3.085,4.201,3.887,4.173,2.58,2.468,3.617,3.199,4.286,5.639,5.181,4.291,2.989
"1994",4.008,3.085,2.377,3.687,3.149,2.525,1.95,3.47,2.315,2.568,3.268,5.252,4.748,3.719,4.391,3.948,2.663,2.634,2.169,1.9,4.894,2.217,2.865,3.086,3.164,3.744,4.159,4.319,2.192,2.196,3.024,4.466,2.694,2.943,5.33,6.106,5.662,4.908,4.266,4.144,4.356,3.997,1.653,2.545,4.38,4.889,1.591,1.56,3.991,6.009,3.932,3.127,3.01,3.282,3.411,3.891,2.363,2.291,4.096,7.787,3.267,3.928,5.021,3.447,3.948,5.123,4.29,3.455,3.776,3.373,3.817,3.871,4.436,6.253,4.081,5.414,4.008
"1995",1.585,4.843,1.586,2.899,3.103,1.808,2.339,3.318,1.663,1.987,2.639,4.514,4.232,3.279,3.689,3.12,2.641,2.143,2.121,1.994,3.246,2.428,2.579,2.325,2.315,3.366,3.92,3.358,1.853,2.001,2.827,3.103,2.427,1.974,4.865,4.842,4.638,2.805,3.633,3.245,3.407,3.122,1.636,2.421,3.424,3.644,1.838,1.372,3.04,3.933,2.782,2.329,2.79,2.82,2.664,2.816,2.175,2.754,2.775,4.577,2.947,3.376,3.517,2.745,3.138,4.146,4.116,3.069,2.581,2.791,3.19,3.478,4.564,4.827,3.3,3.229,3.732
"1996",2.211,4.012,1.949,2.93,3.775,1.832,2.113,3.137,1.429,2.38,2.31,3.84,2.909,2.246,2.956,2.136,2.434,2.008,2.465,1.848,2.906,2.166,2.392,2.381,1.843,3.125,3.187,3.124,1.469,2.438,2.434,2.638,2.477,1.22,4.296,4.247,3.701,3.732,3.935,3.096,3.552,3.27,2.541,3.438,3.463,3.905,1.691,1.44,3.166,3.59,2.907,2.246,4.266,4.141,3.28,2.589,3.118,3.352,2.943,4.561,3.426,3.621,2.925,2.552,4.235,4.328,3.53,2.633,2.915,3.43,3.584,3.702,3.697,4.856,3.875,3.618,2.913
"1997",2.948,3.247,1.93,3.195,4.142,2.605,3.34,5.415,1.603,2.874,2.914,2.762,3.441,2.321,3.007,1.916,3.347,3.285,3.454,2.115,3.882,2.557,3.324,3.021,2.356,3.536,3.976,4.43,1.831,2.897,2.585,3.845,3.91,3.014,5.53,4.202,3.772,4.772,3.19,2.532,3.331,2.949,0.942,2.923,3.368,3.639,1.621,1.319,3.82,5.125,2.201,2.247,4.784,3.693,2.82,2.469,1.187,1.684,2.914,4.979,3.469,4.001,3.606,1.959,4.25,3.413,3.869,3.199,3.103,1.578,3.898,4.23,3.732,4.401,4.262,3.94,3.702
