"","WSPRU-AA-8-A","WSPRU-AA-8-B","WSPRU-AA-3-A","WSPRU-AA-4-A","WSPRU-AA-4-B","WSPRU-AA-5-B","WSPRU-AA-5-A","WSPRU-AA-6-B","WSPRU-AA-6-A","WSPRU-AA-7-A","WSPRU-AA-7-B","WSPRU-AA-9-B","WSPRU-AA-9-A","WSPRU-G-5-B","WSPRU-G-5-A","WSPRU-AA-3-B","WSPRU-AA-10-B","WSPRU-AA-10-A","WSPRU-G-1-A","WSPRU-G-1-B","WSPRU-AA-2-B","WSPRU-AA-2-A","WSPRU-ZZ-8-B","WSPRU-ZZ-8-A","WSPRU-AA-1-A","WSPRU-AA-1-B","WSPRU-ZZ-4-B","WSPRU-ZZ-4-A","WSPRU-ZZ-9-A","WSPRU-ZZ-1-A","WSPRU-ZZ-1-B","WSPRU-ZZ-2-A","WSPRU-ZZ-2-B","WSPRU-ZZ-10-B","WSPRU-ZZ-10-A","WSPRU-G-3-A","WSPRU-G-3-B","WSPRU-ZZ-7-A","WSPRU-ZZ-7-B","WSPRU-ZZ-9-B","WSPRU-G-2-A","WSPRU-G-2-B","WSPRU-G-9-B","WSPRU-G-12-A","WSPRU-ZZ-3-B","WSPRU-ZZ-3-A","WSPRU-ZZ-6-A","WSPRU-ZZ-6-B","WSPRU-G-12-B","WSPRU-ZZ-5-A","WSPRU-ZZ-5-B","WSPRU-G-11-B","WSPRU-G-7-B","WSPRU-G-11-A","WSPRU-G-8-B","WSPRU-G-7-A","WSPRU-G-9-A","WSPRU-G-10-A","WSPRU-G-10-B","WSPRU-G-8-A","WSPRU-G-6-B","WSPRU-G-6-A"
"1973",0.916,0.759,0.858,0.539,0.62,1.227,1.616,0.331,0.809,0.248,0.457,0.428,0.818,3.038,2.419,0.27,0.664,0.548,0.455,0.675,0.524,0.437,0.735,1.147,1.129,1.079,0.474,0.568,1.778,3.697,1.988,4.052,2.588,1.02,1.603,2.328,2.644,1.984,1.862,1.09,1.417,1.004,3.784,1.87,0.456,0.431,1.18,3.404,2.23,0.702,0.322,2.602,2.769,2.274,2.37,2.531,2.609,2.462,NA,NA,NA,NA
"1974",1.649,1.212,0.911,0.537,0.32,1.687,0.443,2.273,1.152,0.483,0.335,1.158,1.215,2.825,2.675,0.78,0.692,0.67,0.519,0.634,0.783,0.428,0.81,1.013,1.397,1.362,1.152,0.671,1.495,2.701,1.835,2.983,2.219,1.232,1.437,2.159,2.967,1.883,1.703,1.541,2.011,1.82,2.572,2.845,0.545,0.556,1.541,2.446,3.162,0.977,0.787,3.249,3.531,2.288,2.702,2.731,3.137,2.362,2.232,NA,NA,NA
"1975",1.012,1.417,1.066,0.791,0.86,1.402,1.899,1.762,1.393,0.402,0.482,0.998,0.993,3.102,3.148,0.917,0.607,0.663,0.307,0.285,0.357,1.064,0.848,1.189,1.645,1.571,0.927,0.498,1.471,2.87,2.328,2.647,2.238,1.528,1.442,2.348,3.145,2.076,1.805,1.49,1.778,1.925,3.269,2.97,0.854,0.85,1.648,2.89,3.414,0.958,0.383,3.247,3.179,2.209,3.393,4.008,3.511,3.089,2.928,NA,NA,NA
"1976",1.113,1.887,0.879,0.872,0.37,1.852,0.395,1.855,0.362,0.509,0.702,0.56,0.469,3.059,3.615,0.781,0.748,0.691,0.265,0.313,0.385,0.878,1.116,1.533,1.848,1.584,1.14,0.458,1.699,3.247,2.461,2.889,2.983,1.4,1.398,2.263,2.956,2.692,2.314,2.095,1.904,1.756,2.713,2.937,1.028,1.409,2.131,2.977,3.127,0.673,0.386,3.582,2.416,1.758,3.266,3.771,4.195,3.358,2.634,4.062,NA,NA
"1977",1.258,1.585,0.91,0.789,0.442,1.11,0.408,0.367,1.245,0.512,0.411,0.414,0.793,2.28,2.533,0.937,0.672,0.696,0.55,0.528,1.163,0.308,1.089,1.224,1.818,1.309,0.951,0.544,1.857,2.883,2.664,2.801,2.424,1.524,1.347,1.988,2.253,2.098,2.308,1.878,2.33,1.669,1.793,2.486,0.948,1.268,1.743,1.916,2.258,1.566,0.413,2.696,2.41,1.554,2.595,3.503,3.931,2.858,1.709,2.932,NA,NA
"1978",0.943,1.024,1.306,0.846,0.779,1.479,0.594,0.72,1.125,0.618,0.662,0.579,0.809,1.727,2.212,0.771,0.548,0.529,0.413,0.437,1.017,0.322,1.339,1.485,1.679,1.427,1.215,0.668,2.196,2.698,2.429,2.891,2.938,1.421,1.501,2.546,2.867,2.094,1.972,2.314,2.113,1.038,2.607,2.509,0.934,1.425,1.98,1.936,2.64,0.848,1.323,2.442,2.385,1.714,2.662,2.921,3.66,3.079,2.335,2.834,NA,NA
"1979",0.939,1.3,1.219,0.628,0.638,1.614,2.153,1.75,1.196,0.69,0.761,0.439,0.511,1.688,1.925,1.265,0.619,0.548,0.243,0.374,0.398,0.157,1.188,1.322,1.838,1.311,1.306,0.903,1.857,2.427,2.103,2.742,2.304,1.445,1.408,2.541,2.78,1.439,1.747,1.836,2.03,1.345,2.711,2.559,0.9,1.409,0.638,0.622,2.608,0.606,1.321,2.478,1.878,1.925,2.304,2.631,2.993,2.797,2.448,2.484,NA,NA
"1980",1.207,0.808,0.978,0.478,0.453,1.48,0.604,0.45,0.97,0.582,0.438,0.726,0.534,1.053,0.753,1.191,0.935,0.602,0.423,0.549,0.288,1.012,1.536,1.614,2.248,1.462,1.344,1.352,1.944,0.314,2.407,2.888,2.649,2.065,2.031,2.025,2.059,2.207,2.276,2.305,1.595,1.188,2.809,1.469,1.306,1.801,2.502,0.823,1.42,0.773,1.261,1.418,1.989,0.981,1.605,2.319,2.429,2.638,1.867,2.241,NA,NA
"1981",0.722,1.02,0.977,0.333,0.445,1.578,0.793,0.513,1.024,0.294,0.388,0.898,0.436,1.481,1.187,0.822,0.995,0.398,0.412,0.436,1.323,0.143,1.032,1.311,1.83,1.614,0.891,0.627,1.304,1.805,0.189,1.585,1.563,1.249,1.13,3.004,2.688,1.252,1.194,1.839,0.838,0.791,2.471,2.342,0.658,0.718,1.909,1.92,1.995,0.549,0.535,2.598,2.533,2.925,2.312,3.27,3.022,3.242,2.976,2.489,0.273,0.436
"1982",0.52,0.488,1.134,0.339,0.391,1.449,1.377,1.096,0.668,0.26,0.451,0.585,0.579,0.848,0.819,0.855,0.645,0.667,0.561,0.715,0.195,0.834,1.146,0.916,1.526,1.335,0.541,0.47,1.104,0.951,0.222,1.819,1.144,1.124,0.918,2.995,2.499,1.424,1.747,1.45,1.732,1.186,2.571,1.994,0.66,0.436,0.638,1.573,2.041,0.425,0.242,2.326,3.002,1.567,3.011,2.965,2.924,2.547,2.135,2.233,0.384,0.401
"1983",0.846,1.403,0.671,0.436,0.423,1.315,1.718,1.134,0.885,0.277,0.331,0.787,0.538,1.562,1.474,0.839,0.548,0.66,0.561,0.839,1.277,0.141,1.122,1.181,1.75,1.434,0.639,0.247,1.146,0.118,0.164,2.164,2.158,1.057,0.982,4.092,3.742,1.461,1.635,1.354,1.692,1.075,1.918,2.108,0.467,0.715,1.836,1.49,2.732,0.417,1.024,2.861,3.39,1.702,3.282,3.143,3.317,3.755,3.115,2.825,0.458,0.539
"1984",1.341,0.562,0.919,0.234,0.444,0.967,0.572,0.33,1.021,0.311,0.49,0.291,0.339,1.575,0.797,0.812,0.478,0.684,0.603,0.587,1.192,0.235,1.19,1.62,1.434,1.151,0.85,0.284,1.361,0.313,1.613,2.2,2.167,1.284,1.537,3.465,3.807,1.704,1.78,1.574,1.903,1.392,2.298,2.458,1.149,1.628,0.253,1.549,2.483,0.379,1.176,1.614,2.937,1.421,2.636,2.666,3.277,3.798,3.278,2.731,0.603,0.667
"1985",1.499,0.61,0.844,0.552,0.573,1.343,0.567,0.407,0.708,0.475,0.6,0.331,1.241,1.803,1.312,1.024,0.903,0.632,0.539,0.611,1.052,0.591,1.189,1.438,1.464,1.191,0.873,0.299,1.692,0.305,1.473,2.35,2.137,1.616,1.265,2.936,3.112,1.893,2.156,1.93,1.863,1.001,1.941,2.468,0.994,1.238,0.273,0.366,2.398,0.597,1.329,2.053,3.235,1.79,2.637,2.74,2.835,2.796,2.634,2.72,0.781,0.811
"1986",0.889,1.155,0.497,0.264,0.582,0.819,1.851,1.756,0.612,0.765,0.573,0.286,0.294,1.283,0.672,0.884,0.937,0.925,0.328,0.365,0.203,0.386,0.897,1.43,1.39,1.049,0.675,0.68,1.205,0.285,0.437,2.11,0.484,1.241,0.851,3.298,3.593,1.695,1.58,1.63,1.674,1.348,2.142,2.482,1.364,1.799,0.275,0.348,2.432,0.834,1.088,2.629,3.076,1.683,2.365,1.939,2.346,3.432,2.308,2.341,0.222,0.195
"1987",0.83,0.297,0.783,0.416,0.492,0.996,0.322,0.385,0.568,0.431,0.439,1.141,1.378,1.028,0.766,0.706,0.779,0.977,0.201,0.186,0.383,0.495,0.79,1.298,1.179,0.998,0.486,0.131,1.143,1.165,0.358,1.397,1.579,1.209,1.101,2.72,2.73,1.573,0.677,1.467,1.667,1.269,2.551,1.77,0.448,0.807,1.487,1.178,1.52,0.205,0.847,1.837,2.983,0.731,1.762,2.717,2.377,1.953,1.806,1.389,0.267,0.326
"1988",0.919,1.414,0.822,0.351,0.39,0.655,0.37,0.795,0.874,0.336,0.424,0.855,0.46,1.212,0.657,0.698,0.824,0.746,0.296,0.352,0.925,0.245,0.836,1.394,1.071,0.821,0.364,0.207,1.558,0.559,0.291,1.682,1.737,0.959,0.983,2.74,3.22,1.464,1.545,2.104,2.088,1.355,2.132,1.336,1.064,0.752,1.57,0.123,1.143,0.267,0.176,0.994,3.109,0.716,2.028,1.931,2.498,2.514,1.805,1.163,0.609,0.609
"1989",1.127,1.697,0.7,0.443,0.304,0.697,0.41,0.688,1.202,0.37,0.486,0.762,0.355,1.091,0.819,0.861,0.491,0.87,0.571,0.501,1.079,0.899,1.004,2.035,1.203,0.966,0.568,0.709,1.988,1.511,1.378,0.562,0.537,0.862,1.057,1.724,2.325,1.678,1.929,2.43,1.552,1.29,1.932,1.486,1.093,0.969,1.966,0.187,1.61,0.275,0.887,0.699,2.418,0.997,2.178,1.924,2.54,2.445,1.848,1.446,0.368,0.524
"1990",1.192,0.309,0.732,0.44,0.288,0.647,0.716,1.411,0.309,0.431,0.427,0.493,0.259,1.149,0.746,0.822,0.266,0.541,0.44,0.44,0.209,1.019,0.987,2.005,0.991,0.895,0.513,0.408,2.453,0.454,1.358,1.884,1.456,0.932,1.305,1.821,2.614,1.807,0.726,1.974,1.337,1.227,1.83,1.353,0.628,1.037,2.205,0.278,1.368,0.389,0.613,0.967,2.781,1.129,3.239,2.367,2.983,2.982,2.306,1.416,0.444,0.352
"1991",0.776,1.35,0.589,0.619,0.684,0.804,0.805,1.216,0.257,0.345,0.094,0.311,0.272,1.137,0.939,0.814,0.32,0.598,0.512,0.483,0.858,1.02,0.876,1.609,1.448,1.283,0.536,0.321,2.177,0.419,0.438,1.58,1.45,0.904,1.202,1.717,2.378,0.877,0.748,2.336,0.816,0.973,1.788,1.521,0.78,1.02,0.641,1.769,1.426,1.233,0.913,1.237,2.515,0.931,3.004,2.824,2.305,2.484,2.441,1.129,0.521,0.419
"1992",0.524,0.311,0.996,0.539,0.639,0.664,1.24,1.14,1.094,0.497,0.044,0.712,0.226,1.071,0.622,0.779,0.383,0.548,0.709,0.671,0.288,1.099,0.793,1.471,1.391,0.942,0.502,0.538,1.684,1.219,1.315,0.286,1.245,0.788,1.019,1.296,1.548,1.527,2.095,1.719,0.473,0.487,1.134,1.694,0.569,0.319,0.55,1.635,1.759,1.226,0.282,1.178,1.737,0.937,2.258,0.699,1.996,3.381,2.309,1.654,0.241,0.276
"1993",0.73,0.263,0.584,0.511,0.54,0.882,0.727,1.291,0.293,0.069,0.071,1.046,0.373,0.695,0.609,0.905,1.056,0.723,0.794,0.849,0.108,0.062,0.771,1.272,1.38,1.035,0.505,0.567,1.594,0.364,0.341,1.574,1.555,0.802,1.493,1.995,2.499,0.686,0.63,1.623,1.847,1.355,2.069,1.221,0.395,0.866,1.761,1.668,1.378,1.026,1.168,1.506,2.401,1.27,2.973,1.174,1.955,3.52,2.179,2.004,0.267,0.32
"1994",0.86,2.315,0.644,0.402,0.337,0.876,0.58,0.276,1.084,0.354,0.371,0.136,0.403,1.576,1.652,1.003,0.449,0.676,0.751,0.806,0.061,0.766,0.814,1.382,1.493,1.308,0.654,0.376,1.93,1.484,1.785,1.831,0.175,1.36,2.011,1.699,2.457,1.651,0.652,1.753,1.426,1.566,1.958,1.361,0.532,1.122,1.783,2.066,1.288,0.117,0.151,1.751,2.875,0.739,3.377,2.816,2.263,3.76,3.015,2.872,0.305,0.343
