"","ASPEN-BB-15-B","ASPEN-BB-9-B","ASPEN-BB-18-B","ASPEN-BB-14-B","ASPEN-BB-13-B","ASPEN-BB-10-A","ASPEN-BB-15-A","ASPEN-BB-17-A","ASPEN-BB-17-B","ASPEN-BB-18-A","ASPEN-BB-9-A","ASPEN-BB-11-A","ASPEN-BB-16-B","ASPEN-BB-11-B","ASPEN-BB-12-A","ASPEN-BB-12-B","ASPEN-BB-14-A","ASPEN-BB-10-B","ASPEN-BB-13-A","ASPEN-FF-3-B","ASPEN-FF-14-B","ASPEN-FF-2-A","ASPEN-FF-8-B","ASPEN-FF-4-A","ASPEN-FF-4-B","ASPEN-FF-13-A","ASPEN-FF-14-A","ASPEN-FF-20-A","ASPEN-FF-2-B","ASPEN-FF-3-A","ASPEN-FF-8-A","ASPEN-FF-5-B","ASPEN-FF-1-A","ASPEN-FF-1-B","ASPEN-FF-13-B","ASPEN-FF-16-A","ASPEN-FF-17-A","ASPEN-FF-6-A","ASPEN-FF-6-B","ASPEN-FF-19-A","ASPEN-FF-7-A","ASPEN-FF-7-B","ASPEN-FF-15-B","ASPEN-FF-18-B","ASPEN-FF-5-A","ASPEN-FF-17-B","ASPEN-FF-19-B","ASPEN-FF-20-B","ASPEN-FF-18-A","ASPEN-FF-15-A","ASPEN-FF-12-A","ASPEN-FF-12-B","ASPEN-FF-16-B","ASPEN-FF-11-A","ASPEN-FF-11-B"
"1960",2.109,1.412,2.791,2.873,2.164,1.927,2.567,2.988,2.925,1.917,2.887,2.915,1.963,3.243,3.989,2.529,4.063,2.034,2.434,0.397,1.739,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1961",3.011,2.191,2.888,3.267,2.681,2.365,2.948,3.72,3.691,2.706,2.363,3.426,2.474,3.725,4.091,3.053,4.087,2.732,3.042,0.674,2.458,0.874,1.206,0.848,0.703,0.909,2.427,1.843,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1962",0.743,0.589,1.165,1.245,0.602,0.68,0.601,1.171,1.129,1.106,0.687,1.12,0.801,1.229,1.294,0.692,0.932,0.729,0.932,1.116,1.635,0.613,0.765,0.245,0.307,0.805,0.383,1.547,1.049,0.603,2.144,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1963",0.155,0.12,0.213,0.157,0.088,0.805,0.176,0.24,0.266,0.254,0.091,0.239,0.29,0.17,0.218,0.179,0.35,0.124,0.178,0.847,0.355,0.676,1.352,0.362,0.486,0.78,0.364,1.957,0.634,0.583,1.801,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1964",0.477,0.334,1.205,0.957,0.485,1.071,0.387,0.989,1.039,0.811,0.308,0.927,1.361,0.851,1.536,0.667,1.93,0.347,1.098,0.854,3.103,0.44,3.022,0.515,0.555,0.554,2.583,3.009,0.81,0.538,2.198,1.615,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1965",1.187,0.847,0.924,1.736,0.873,1.476,0.693,1.707,1.276,0.786,1.001,1.365,1.313,1.893,2.336,1.783,1.936,1.105,1.362,0.626,2.967,0.622,1.971,0.733,0.714,0.655,2.637,2.994,1.018,0.811,1.399,1.394,0.453,0.551,1.437,1.709,1.815,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1966",1.061,1.114,1.451,1.166,0.621,1.554,0.817,1.319,1.222,0.845,1.215,1.287,1.552,1.536,2.196,1.458,1.73,1.194,0.943,0.523,2.245,0.691,1.797,0.557,0.497,1.046,2.49,1.684,0.773,0.705,1.614,0.555,0.578,1.087,1.489,1.283,1.04,2.145,2.045,2.477,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1967",1.151,1.587,1.289,1.548,1.057,1.537,1.351,1.3,1.278,2.942,1.38,1.914,1.519,2.023,2.916,1.586,2.224,1.561,1.382,0.473,2.158,0.909,1.418,0.728,0.727,0.853,1.9,2.096,1.163,0.398,1.481,0.529,0.694,0.98,1.488,1.159,1.559,1.55,1.406,1.529,0.74,1.082,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1968",1.404,1.543,1.861,1.337,1.52,1.384,1.734,2.649,1.504,1.62,1.355,2.092,1.883,2.174,3.386,1.749,2.868,1.414,1.789,0.398,2.181,1.094,0.961,0.584,0.747,0.876,1.802,1.963,0.928,0.814,0.944,0.984,1.133,1.066,1.344,1.425,1.362,1.036,1.427,1.635,0.863,1.649,0.682,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1969",1.237,0.893,1.263,1.212,1.29,1.929,1.535,1.739,1.213,1.94,1.073,1.706,1.206,1.728,2.941,1.626,2.613,1.034,1.529,0.818,1.726,0.854,0.957,0.636,0.545,1.313,1.748,1.549,1.002,0.468,0.984,1.007,0.898,0.981,1.648,1.178,1.38,1.32,1.847,2.161,0.986,1.108,0.641,1.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
