"","WSPRU-II-5-A","WSPRU-II-5-B","WSPRU-II-3-A","WSPRU-II-3-B","WSPRU-II-10-B","WSPRU-II-4-B","WSPRU-II-6-A","WSPRU-II-4-A","WSPRU-II-6-B","WSPRU-II-8-B","WSPRU-II-8-A","WSPRU-II-9-B","WSPRU-II-10-A","WSPRU-II-9-A","WSPRU-QQ-11-B","WSPRU-QQ-11-A","WSPRU-II-7-B","WSPRU-II-7-A","WSPRU-QQ-12-B","WSPRU-QQ-12-A","WSPRU-II-2-A","WSPRU-II-2-B","WSPRU-QQ-6-B","WSPRU-QQ-6-A","WSPRU-QQ-2-B","WSPRU-QQ-2-A","WSPRU-QQ-3-B","WSPRU-QQ-3-A","WSPRU-QQ-5-A","WSPRU-QQ-5-B","WSPRU-QQ-7-A","WSPRU-QQ-7-B","WSPRU-QQ-9-A","WSPRU-QQ-8-A","WSPRU-QQ-8-B","WSPRU-QQ-9-B","WSPRU-QQ-4-A","WSPRU-QQ-4-B","WSPRU-QQ-10-A","WSPRU-QQ-10-B","WSPRU-II-1-A","WSPRU-II-1-B","WSPRU-QQ-1-B","WSPRU-QQ-1-A"
"1965",0.414,0.349,0.145,0.379,0.126,0.624,0.06,0.624,0.097,0.16,0.07,0.072,0.094,0.121,0.374,0.409,0.117,0.174,0.599,0.501,0.306,0.41,1.143,1.062,0.5,0.485,0.33,0.28,0.768,0.754,0.419,0.458,0.863,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1966",0.609,0.638,0.071,0.377,0.198,0.079,0.098,0.14,0.078,0.138,0.111,0.106,0.162,0.205,0.497,0.855,0.131,0.168,0.454,0.515,0.281,0.278,1.077,1.164,0.698,0.593,0.482,0.311,0.88,0.756,0.309,0.396,0.743,0.651,0.626,0.941,NA,NA,NA,NA,NA,NA,NA,NA
"1967",0.422,0.457,0.084,0.315,0.295,0.102,0.073,0.135,0.094,0.288,0.17,0.263,0.217,0.252,0.618,0.935,0.133,0.158,0.549,0.452,0.399,0.327,0.678,0.692,0.435,0.432,0.656,0.357,0.649,0.735,1.232,0.835,1.425,0.541,0.793,0.81,0.767,0.657,0.762,0.559,NA,NA,NA,NA
"1968",0.525,0.518,0.133,0.513,0.277,0.165,0.113,0.144,0.079,0.225,0.268,0.344,0.261,0.463,0.51,0.676,0.15,0.101,0.419,0.243,0.515,0.248,0.466,0.463,0.379,0.286,0.657,0.372,0.494,0.758,0.423,0.22,0.937,0.922,0.983,0.691,0.337,0.362,0.354,0.551,NA,NA,NA,NA
"1969",0.59,0.621,0.304,0.524,0.472,0.205,0.224,0.219,0.068,0.441,0.387,0.823,0.338,0.346,1.167,1.137,0.25,0.229,0.784,0.652,0.538,0.3,0.757,0.77,0.438,0.458,0.988,0.429,0.898,1.005,0.392,0.553,0.736,1.007,1.083,1.041,0.435,0.506,0.52,0.787,0.191,NA,NA,NA
"1970",0.774,0.787,0.573,0.742,0.321,0.197,0.206,0.248,0.228,0.619,0.373,0.458,0.332,0.393,1.479,1.413,0.24,0.209,0.552,0.859,0.557,0.472,0.683,0.867,0.45,0.491,0.862,0.459,0.921,0.826,0.236,0.439,0.911,1.074,0.985,0.984,0.578,0.504,0.524,0.642,0.382,0.326,NA,NA
"1971",0.876,0.925,0.687,0.789,0.255,0.267,0.312,0.337,0.166,0.798,0.568,0.502,0.365,0.351,1.281,1.113,0.319,0.326,0.38,0.556,0.381,0.373,0.672,0.868,0.435,0.572,0.841,0.522,0.871,0.765,0.228,0.347,0.651,0.875,0.881,0.976,0.342,0.336,0.713,0.606,0.165,0.137,NA,NA
"1972",0.706,0.86,0.292,0.282,0.067,0.507,0.068,0.541,0.288,0.067,0.835,0.466,0.15,0.304,1.524,1.101,0.09,0.15,0.446,0.503,0.374,0.356,0.785,0.76,0.468,0.595,0.803,0.59,0.567,0.702,0.179,0.404,1.141,0.72,0.78,0.794,0.424,0.362,1.031,0.559,0.34,0.355,NA,NA
"1973",0.805,0.873,0.192,0.349,0.109,0.595,0.059,0.58,0.1,0.166,0.642,0.33,0.069,0.145,1.626,1.198,0.205,0.207,0.578,0.413,0.263,0.287,0.385,0.508,0.465,0.536,0.7,0.535,0.525,0.476,0.136,0.352,0.608,0.506,0.621,0.892,0.4,0.336,0.46,0.282,0.693,0.742,NA,NA
"1974",1.093,1.194,0.365,0.403,0.229,0.364,0.172,0.441,0.139,0.361,0.214,0.208,0.237,0.279,2.086,1.355,0.175,0.242,0.455,0.247,0.519,0.492,0.68,0.616,0.561,0.609,0.717,0.598,0.661,0.798,0.19,0.599,0.475,0.535,0.56,0.75,0.529,0.297,0.657,0.359,0.679,0.682,NA,NA
