"","ASPEN-R-7-A","ASPEN-R-4-A","ASPEN-R-2-B","ASPEN-R-6-B","ASPEN-R-3-A","ASPEN-R-6-A","ASPEN-R-2-A","ASPEN-R-4-B","ASPEN-R-5-A","ASPEN-R-7-B","ASPEN-R-3-B","ASPEN-R-5-B","ASPEN-R-1-A","ASPEN-R-8-B","ASPEN-R-8-A","ASPEN-R-1-B","ASPEN-U-13-B","ASPEN-U-14-B","ASPEN-U-17-A","ASPEN-R-13-A","ASPEN-U-10-A","ASPEN-U-12-B","ASPEN-U-14-A","ASPEN-U-15-A","ASPEN-U-15-B","ASPEN-U-18-A","ASPEN-R-9-B","ASPEN-R-18-B","ASPEN-U-9-B","ASPEN-U-16-A","ASPEN-U-17-B","ASPEN-R-13-B","ASPEN-R-18-A","ASPEN-U-8-B","ASPEN-U-10-B","ASPEN-U-11-B","ASPEN-U-16-B","ASPEN-U-18-B","ASPEN-R-14-B","ASPEN-R-9-A","ASPEN-R-16-B","ASPEN-U-6-A","ASPEN-U-6-B","ASPEN-U-11-A","ASPEN-U-13-A","ASPEN-R-14-A","ASPEN-R-17-A","ASPEN-R-11-A","ASPEN-R-11-B","ASPEN-R-10-B","ASPEN-R-17-B","ASPEN-R-12-B","ASPEN-R-15-A","ASPEN-U-8-A","ASPEN-R-10-A","ASPEN-R-12-A","ASPEN-R-15-B","ASPEN-U-9-A"
"1906",0.545,1.499,0.778,0.595,0.673,0.495,1.044,1.567,0.632,0.928,0.632,0.54,0.732,1.262,1.076,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1907",1.382,2.128,1.305,1.052,1.256,1.049,1.337,2.557,1.383,1.394,1.336,1.306,1.203,0.544,2.076,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1908",1.071,2.114,1.252,1.08,1.506,1.015,1.28,2.523,1.552,1.554,1.622,1.68,1.365,1.985,2.249,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1909",0.912,2.008,1.216,1.362,1.575,1.221,1.387,1.886,1.258,1.65,1.439,1.266,1.311,1.59,2.114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1910",1.153,2.01,0.957,1.451,1.73,1.283,1.261,1.814,1.136,1.289,1.216,1.069,1.167,1.71,2.092,1.143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1911",0.776,1.283,0.62,1.14,0.998,0.945,0.892,1.317,0.807,0.985,0.974,0.677,0.904,1.423,1.65,1.095,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1912",1.003,1.526,0.705,1.4,1.488,1.315,0.739,1.268,0.973,1.066,0.989,0.824,1.12,1.313,1.494,1.159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1913",1.242,1.853,0.998,1.687,1.669,1.732,1.062,1.579,1.239,1.51,1.446,1.125,1.481,1.818,1.897,1.449,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1914",1.073,1.773,0.601,1.413,1.356,1.243,0.609,1.452,0.915,1.158,1.02,0.669,1.107,1.445,1.955,0.918,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1915",1.448,2.271,1.036,1.788,1.797,1.528,0.784,2.265,1.397,1.601,1.569,1.133,1.502,1.491,1.837,1.589,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
