"","ASPEN-R-7-A","ASPEN-R-4-A","ASPEN-R-2-B","ASPEN-R-6-B","ASPEN-R-3-A","ASPEN-R-6-A","ASPEN-R-2-A","ASPEN-R-4-B","ASPEN-R-5-A","ASPEN-R-7-B","ASPEN-R-3-B","ASPEN-R-5-B","ASPEN-R-1-A","ASPEN-R-8-B","ASPEN-R-8-A","ASPEN-R-1-B","ASPEN-U-13-B","ASPEN-U-14-B","ASPEN-U-17-A","ASPEN-R-13-A","ASPEN-U-10-A","ASPEN-U-12-B","ASPEN-U-14-A","ASPEN-U-15-A","ASPEN-U-15-B","ASPEN-U-18-A","ASPEN-R-9-B","ASPEN-R-18-B","ASPEN-U-9-B","ASPEN-U-16-A","ASPEN-U-17-B","ASPEN-R-13-B","ASPEN-R-18-A","ASPEN-U-8-B","ASPEN-U-10-B","ASPEN-U-11-B","ASPEN-U-16-B","ASPEN-U-18-B","ASPEN-R-14-B","ASPEN-R-9-A","ASPEN-R-16-B","ASPEN-U-6-A","ASPEN-U-6-B","ASPEN-U-11-A","ASPEN-U-13-A","ASPEN-R-14-A","ASPEN-R-17-A","ASPEN-R-11-A","ASPEN-R-11-B","ASPEN-R-10-B","ASPEN-R-17-B","ASPEN-R-12-B","ASPEN-R-15-A","ASPEN-U-8-A","ASPEN-R-10-A","ASPEN-R-12-A","ASPEN-R-15-B","ASPEN-U-9-A"
"1990",0.847,0.317,0.426,0.487,0.601,NA,0.738,0.391,1.357,0.573,1.09,1.491,0.696,0.61,0.709,0.592,0.941,1.253,1.866,1.268,1.326,0.878,1.33,2.178,2.035,1.282,1.025,1.228,0.896,1.607,1.362,1.059,1.039,1.179,1.325,1.28,1.88,1.039,0.381,0.925,0.291,0.876,0.865,1.394,0.916,0.316,0.098,1.038,0.79,1.294,0.183,0.363,1.2,1.444,1.009,0.234,1.097,1.057
"1991",0.787,0.387,0.436,0.484,0.466,NA,0.654,0.411,1.423,1.098,0.895,0.927,0.611,0.837,1.068,0.615,1.12,1.118,1.378,1.339,1.132,0.698,1.113,1.309,1.569,1.509,1.271,1.677,0.585,1.055,0.992,0.918,1.628,0.719,0.984,0.859,1.202,1.466,0.332,1.252,0.358,0.404,0.427,0.921,0.933,0.317,0.084,1.477,1.039,1.545,0.282,0.37,1.519,0.662,1.165,0.303,1.782,0.897
"1992",0.823,0.346,0.484,0.834,0.394,NA,0.656,0.204,1.68,0.832,0.688,1.05,0.404,0.505,0.668,0.569,0.591,0.403,1.377,1.294,0.587,0.351,0.71,1.111,0.927,0.767,1.131,1.243,0.311,0.956,0.982,1.084,1.318,0.451,0.596,0.454,1.262,0.498,0.289,0.968,0.274,0.194,0.125,0.49,0.526,0.235,0.085,1.089,0.703,1.307,0.264,0.292,1.558,0.531,0.79,0.272,1.031,0.504
"1993",0.41,0.267,0.349,0.647,0.295,NA,0.639,0.078,1.024,0.365,0.43,1.092,0.44,0.466,0.584,0.518,0.716,0.974,1.442,0.811,1.032,0.965,1.175,1.426,1.442,0.752,0.59,0.832,0.549,1.343,1.293,0.619,0.96,0.557,0.988,1.02,1.73,0.921,0.17,0.822,0.222,0.382,0.413,0.964,0.835,0.161,0.033,0.741,0.494,0.657,0.181,0.273,1.021,0.677,0.366,0.227,0.861,0.79
"1994",0.275,0.262,0.168,0.381,0.399,NA,0.357,0.251,0.821,0.164,0.371,0.566,0.274,0.232,0.289,0.207,0.843,0.832,0.906,0.435,0.988,1.231,0.951,0.85,1.103,0.903,0.454,0.554,0.72,1.011,0.892,0.426,0.465,0.832,1.235,0.854,1.399,0.821,0.087,0.43,0.122,0.288,0.41,0.858,1.033,0.072,0.073,0.579,0.546,0.373,0.081,0.106,0.474,0.642,0.31,0.079,0.395,0.872
"1995",0.58,0.256,0.507,0.751,0.47,NA,0.577,0.081,0.903,0.548,0.543,1.082,0.415,0.571,0.731,0.487,0.485,0.747,0.758,1.277,0.767,0.742,0.951,0.677,0.623,0.793,0.698,0.892,0.672,0.759,1.031,0.743,0.721,0.602,0.967,0.851,1.022,0.652,0.168,0.852,0.375,0.292,0.351,0.75,0.762,0.225,0.104,0.83,0.615,0.725,0.115,0.626,1.239,0.404,0.749,0.666,1.7,0.728
"1996",0.17,0.136,0.288,0.265,0.148,NA,0.213,0.124,0.533,0.147,0.23,0.369,0.189,0.198,0.315,0.325,0.775,1.04,1.181,0.252,0.995,0.903,1.094,1.189,1.249,1.051,0.127,0.184,0.85,0.992,1.241,0.17,0.142,0.599,0.967,0.716,1.297,0.689,0.049,0.096,0.088,0.301,0.383,0.875,0.634,0.115,0.035,0.211,0.133,0.121,0.019,0.122,0.34,0.667,0.108,0.077,0.306,1.037
"1997",0.451,0.105,0.31,0.939,0.171,NA,0.366,0.111,1.026,0.445,0.295,0.858,0.377,0.594,0.589,0.401,0.769,1.105,1.471,0.811,1.224,1.158,1.48,0.967,1.199,1.493,0.659,0.869,0.935,0.596,1.092,0.72,0.617,0.602,1.108,0.941,1.714,1.084,0.103,0.638,0.279,0.466,0.458,0.692,0.878,0.174,0.03,0.757,0.442,0.474,0.026,0.386,0.742,0.831,0.612,0.369,1.159,0.831
"1998",0.695,0.3,0.358,1.364,0.588,NA,0.52,0.235,1.552,0.773,0.57,1.249,0.468,0.582,0.788,0.428,1.034,1.031,1.85,0.931,1.408,1.065,1.201,1.437,1.644,1.046,0.887,1.525,0.911,1.34,1.454,0.901,0.982,0.56,1.432,1.066,1.952,0.961,0.18,1.126,1.268,0.542,0.522,0.872,0.933,0.32,0.025,1.407,0.87,0.859,0.026,0.585,1.061,0.586,0.831,0.675,1.754,0.829
"1999",0.654,0.294,0.449,2.089,0.677,NA,0.651,0.285,2.009,0.491,0.697,1.975,0.405,0.443,0.536,0.608,0.506,0.542,0.703,0.953,0.382,0.422,0.599,0.487,0.607,0.564,1.109,0.988,0.254,0.36,0.838,1.02,1.131,0.149,0.694,0.325,0.677,0.479,0.235,1.082,1.087,0.068,0.124,0.246,0.292,0.203,0.024,1.069,0.911,1.012,0.021,0.484,1.353,0.189,0.963,0.609,1.656,0.304
"2000",0.232,0.102,0.196,0.976,0.286,NA,0.322,0.081,0.989,0.176,0.309,0.767,0.209,0.158,0.236,0.221,0.149,0.087,0.112,0.555,0.211,0.092,0.136,0.149,0.19,0.16,0.4,0.554,0.22,0.132,0.236,0.601,0.511,0.077,0.077,0.057,0.109,0.153,0.087,0.227,0.735,0.117,0.108,0.063,0.131,0.109,0.041,0.503,0.308,0.161,0.023,0.168,0.557,0.062,0.284,0.171,0.412,0.173
"2001",0.183,0.041,0.089,0.599,0.126,NA,0.065,0.068,0.633,0.191,0.105,0.466,0.101,0.252,0.236,0.174,0.578,0.526,0.671,0.357,0.597,0.29,0.652,0.677,0.795,0.458,0.076,0.077,0.576,0.534,0.778,0.354,0.107,0.245,0.791,0.26,0.647,0.383,0.054,0.068,0.115,0.124,0.175,0.305,0.482,0.148,0.025,0.116,0.03,0.05,NA,0.065,0.547,0.242,0.04,0.097,0.401,0.532
"2002",0.228,0.121,0.042,1.266,0.38,NA,0.039,0.054,1.049,0.162,0.455,0.828,0.185,0.145,0.267,0.195,0.531,0.57,1.006,0.528,0.544,0.373,0.753,0.597,0.654,0.494,0.579,1.042,0.299,1.05,1.279,0.702,1.22,0.373,0.44,0.26,1.065,0.517,0.028,0.994,0.162,0.131,0.068,0.189,0.382,0.06,0.033,0.457,0.279,0.554,NA,0.407,1.48,0.316,0.579,0.402,0.616,0.324
"2003",0.459,0.308,0.11,1.34,0.622,NA,0.13,0.194,1.86,0.327,0.835,1.404,0.255,0.356,0.416,0.237,0.587,0.702,1.166,1.047,0.227,0.227,0.794,0.643,0.811,0.604,0.65,1.3,0.368,0.754,1.144,1.21,0.95,0.172,0.539,0.186,0.942,0.695,0.016,0.954,0.232,0.156,0.107,0.175,0.311,0.074,0.04,0.929,0.783,0.586,NA,0.412,1.505,0.301,0.69,0.282,1.059,0.312
"2004",0.563,0.202,0.121,1.491,0.704,NA,0.108,0.056,1.136,0.587,0.799,1.186,0.181,0.377,0.394,0.262,0.259,0.494,0.742,1.12,0.314,0.26,0.268,0.505,0.593,0.352,0.743,0.917,0.399,0.3,0.873,0.957,1.085,0.105,0.619,0.091,0.649,0.704,0.035,0.67,0.441,0.185,0.099,0.177,0.453,0.038,0.034,1.033,0.745,0.492,NA,0.212,0.952,0.075,0.467,0.184,0.564,0.334
"2005",0.381,0.192,0.173,0.831,0.651,NA,0.139,0.211,1.163,0.302,0.731,1.138,0.187,0.344,0.348,0.28,0.209,0.283,0.651,0.543,0.309,0.211,0.432,0.762,0.733,0.344,0.313,0.49,0.294,0.625,0.948,0.668,0.45,0.212,0.301,0.22,0.927,0.613,0.016,0.273,0.247,0.244,0.192,0.235,0.426,0.091,0.021,0.649,0.56,0.152,NA,0.222,0.551,0.16,0.121,0.188,0.39,0.401
"2006",0.288,0.1,0.202,0.941,0.519,NA,0.21,0.149,0.756,0.215,0.532,0.875,0.14,0.253,0.318,0.238,0.42,0.538,1.595,0.58,0.45,0.267,0.705,1.328,1.644,0.357,0.523,0.856,0.397,1.154,2.128,0.546,1,0.18,0.403,0.388,1.745,0.37,NA,0.635,0.35,0.18,0.296,0.337,0.446,0.141,NA,0.671,0.847,0.241,NA,0.217,1.057,0.144,0.216,0.194,0.664,0.548
"2007",0.321,0.073,0.114,0.802,0.752,NA,0.114,0.08,1.089,0.271,0.802,0.926,0.287,0.285,0.193,0.251,0.376,0.478,1.315,0.706,0.165,0.336,0.729,0.813,0.693,0.392,0.298,0.908,0.124,0.968,1.391,0.689,0.675,0.094,0.379,0.335,1.478,0.519,NA,0.457,0.138,0.335,0.195,0.406,0.215,0.081,NA,0.486,0.614,0.349,NA,0.205,0.589,0.086,0.352,0.29,0.509,0.462
"2008",0.525,0.154,0.179,1.348,1.01,NA,0.213,0.156,1.41,0.597,0.859,1.425,0.54,0.459,0.365,0.351,0.485,0.958,1.754,1.002,0.345,0.581,1.064,1.353,1.423,0.864,0.632,1.507,0.386,1.21,1.763,1,1.377,0.238,0.889,0.841,1.408,1.171,NA,0.456,0.185,0.276,0.143,0.733,0.365,NA,NA,0.99,0.881,0.154,NA,0.191,0.616,0.2,0.228,0.287,0.38,0.718
"2009",0.546,0.237,0.322,1.487,1.115,NA,0.352,0.235,1.503,0.545,0.996,1.595,0.462,0.547,0.39,0.311,0.465,0.674,1.161,1.257,0.323,0.505,0.761,1.067,1.194,0.736,0.842,1.663,0.426,1.129,1.307,1.112,1.03,0.181,0.596,0.64,1.195,0.906,NA,1.278,0.18,NA,NA,0.291,0.241,NA,NA,0.915,0.835,0.504,NA,0.305,1.002,0.19,0.874,0.514,0.997,0.394
"2010",0.307,0.145,0.217,1.233,0.664,NA,0.296,0.132,1.34,0.437,0.712,1.403,0.313,0.369,0.33,0.209,0.244,0.372,0.271,0.769,0.07,0.125,0.225,0.311,0.287,0.251,0.837,0.886,0.094,0.14,0.254,0.796,0.686,0.062,0.115,0.127,0.216,0.209,NA,0.626,0.096,NA,NA,0.093,0.089,NA,NA,0.762,0.803,0.384,NA,0.167,0.678,0.051,0.548,0.332,0.537,0.079
